,a,b,c,d,e,f,g,h,i,opady,opady_zaciemnienie,opady_kierowcy,opady_zaciemnienie_kierowcy,prawdziwy,prawdziwy_iv
0,5,6,10,1,7,6,9,7,7,73.5646736640422,73.33068556382554,73.19972381673945,72.96563939797494,5.618491574752642,49.2352310357417
1,7,7,2,6,8,2,2,6,3,18.91536459205574,17.606151390849277,17.134060140314002,15.664490435953239,1.454713981920238,15.165995741554635
2,1,4,2,1,3,7,5,9,6,77.78490542109405,77.67257284925375,77.7386063839226,77.62675184163366,3.113724852766664,69.33886509116007
3,2,7,8,6,7,10,6,7,10,100.61709815643509,100.36873048686684,100.36102845109579,100.11484806093121,6.638446773711693,80.51668569495041
4,3,5,4,10,3,9,6,4,2,66.74309914893355,66.51830496413731,66.68237644283958,66.4572066313647,1.9414341851813288,38.95203509428199
5,2,10,3,8,6,4,8,4,10,43.154843770983696,41.95409884700909,42.6873056806291,41.475522234139554,9.04057397949612,26.385776240562073
6,5,10,8,10,8,8,5,4,3,55.23580938105588,54.28445100317482,54.68219555817706,53.71795007861451,2.55312122124688,35.79715938961708
7,10,3,6,3,1,5,8,4,2,46.02655903598202,45.912679414484415,46.01234305378472,45.89845023010123,2.0567442619450627,22.621924255154987
8,10,5,3,4,7,7,7,2,6,54.095377011149886,53.87632084219282,53.682428866211666,53.46254381651778,5.877034601618229,21.25099091811453
9,8,2,10,6,1,1,5,10,8,18.812981211740308,18.712659724591482,18.78800241386854,18.687324802897628,3.778863976413749,18.018455292160784
10,4,5,8,1,4,10,7,10,4,126.12931099158232,126.0398770734195,126.05978334328822,125.97055601920023,2.5206675462046984,104.84579290036228
11,10,2,4,7,2,10,9,10,1,135.42582103274407,135.40605644825993,135.4068020077611,135.38701180853607,1.2049084897943136,101.46490498900441
12,6,1,8,1,2,4,7,5,8,39.876383140963945,39.85750371523023,39.82793381571295,39.80893686673217,6.597898286329977,28.290898018021892
13,10,5,2,8,2,5,10,7,7,66.0130826008232,65.84606399778666,65.9855665008098,65.8187649120861,5.834142857335072,42.36668141159301
14,8,5,10,6,3,4,3,1,1,14.824400987570607,13.937303970005475,14.517559167247459,13.610990464000018,1.3775122494369627,6.4678380008591425
15,8,5,7,2,8,5,5,8,5,52.82523858835121,52.58763544916562,52.16725152943042,51.92418844489759,2.87341582332531,45.488559196224806
16,4,8,3,6,10,6,3,8,10,62.53371646062675,62.01913268386017,61.66668709803727,61.14731501716359,3.8128396600376084,58.37693046165431
17,10,5,2,7,7,8,5,4,3,54.49961087870646,54.27609943074698,54.08117022399836,53.853169063152734,2.5636618078087703,35.88756699073859
